TimeStamp,L,zL,C_CO2,ustar,Tsonic,q,sd_C_CO2,F_CO2,Q_E,Q_H
timestamp,m,dimensionless,mmol.m-3,m.s-1,Celsius,kg.kg-1,mmol.m-3,umol.m-2.s-1,W.m-2,W.m-2
2018-01-07 00:30:00,126.5,0.022921,0.000575,0.377,286.0,0.00361,9.21e-07,-1.33795,-3.2849,-48.8
2018-01-07 01:00:00,497.9,0.005825,0.000575,0.51,286.0,0.00364,7.96e-07,-0.72234,-0.5859,-30.71
2018-01-07 01:30:00,316.3,0.009169,0.000575,0.428,286.0,0.00362,8.55e-07,-1.58177,-5.3304,-28.58
2018-01-07 02:00:00,364.1,0.007965,0.000574,0.467,285.0,0.00354,8.84e-07,0.37675,2.3011,-31.92
2018-01-07 02:30:00,501.3,0.005785,0.000573,0.458,285.0,0.00345,8.16e-07,-0.21257,-2.6141,-21.74
2018-01-07 03:00:00,329.5,0.008801,0.000573,0.403,285.0,0.00341,8.58e-07,-0.49837,-2.2786,-22.54
2018-01-07 03:30:00,272.4,0.010645,0.000574,0.41,285.0,0.00336,8.72e-07,-0.06621,0.6633,-28.57
2018-01-07 04:00:00,3018.9,0.000961,0.000574,0.334,285.0,0.00336,8.55e-07,-0.89606,1.0117,-1.39
2018-01-07 04:30:00,134.2,0.021606,0.000575,0.314,285.0,0.00332,9.38e-07,-0.12127,-1.0396,-25.91
2018-01-07 05:00:00,233.4,0.012424,0.000575,0.53,285.0,0.00335,1.06e-06,-1.48382,-1.0621,-72.02
2018-01-07 05:30:00,330.4,0.008778,0.000576,0.384,285.0,0.00333,1.01e-06,-0.39742,-0.1512,-19.31
2018-01-07 06:00:00,302.8,0.009578,0.000576,0.491,285.0,0.00339,9.26e-07,-1.26188,-1.2146,-44.22
2018-01-07 06:30:00,291.7,0.009943,0.000577,0.467,285.0,0.00349,1.12e-06,0.52673,-1.1312,-39.82
2018-01-07 07:00:00,482.0,0.006016,0.000578,0.49,285.0,0.00363,1.09e-06,-0.97159,1.1798,-28.24
2018-01-07 07:30:00,19080.6,0.000152,0.00058,0.591,285.0,,4.91e-06,2.27683,,-1.26
2018-01-07 08:00:00,1267.3,0.002288,0.00058,0.469,285.0,0.00391,1.29e-06,0.92505,-6.9257,-9.58
2018-01-07 08:30:00,1490.7,0.001945,0.000581,0.489,285.0,0.00402,1.01e-06,1.00663,2.2586,-9.35
2018-01-07 09:00:00,1940.3,0.001495,0.00058,0.625,285.0,0.00402,9.23e-07,-1.59116,-18.8719,-14.95
2018-01-07 09:30:00,776.1,0.003737,0.000578,0.506,285.0,0.00401,9.85e-07,-1.69054,4.4297,-19.85
2018-01-07 10:00:00,928.5,0.003123,0.000577,0.682,285.0,0.00393,1.45e-06,-2.48297,15.0102,-40.47
2018-01-07 10:30:00,7812.5,0.000371,0.000575,0.548,284.0,0.00384,1e-06,-0.9183,12.0237,-2.48
2018-01-07 11:00:00,-1270.0,-0.002283,0.000574,0.591,284.0,0.00376,8.3e-07,-1.78558,20.9864,19.03
2018-01-07 11:30:00,-1413.0,-0.002052,0.000574,0.52,285.0,0.00372,8.61e-07,-3.66229,22.2276,11.58
2018-01-07 12:00:00,-2002.0,-0.001449,0.000573,0.552,285.0,0.00372,1.13e-06,-1.65331,22.7137,9.8
2018-01-07 12:30:00,-908.2,-0.003193,0.00057,0.59,285.0,0.00361,1.09e-06,-1.12916,40.556,26.12
2018-01-07 13:00:00,-26628.7,-0.000109,0.000569,0.741,285.0,0.00353,9.52e-07,-0.00501,35.7721,1.76
2018-01-07 13:30:00,-563.6,-0.005146,0.000568,0.389,285.0,0.00351,9.54e-07,-4.225,21.9696,12.02
2018-01-07 14:00:00,-860.6,-0.00337,0.000567,0.468,285.0,0.00347,9.19e-07,-2.43449,25.6974,13.65
2018-01-07 14:30:00,-426.5,-0.0068,0.000568,0.416,285.0,0.00343,7.96e-07,-0.37674,1.3713,19.29
2018-01-07 15:00:00,17375.0,0.000167,0.000569,0.602,285.0,0.00329,6.93e-07,-0.29387,-0.8599,-1.42
2018-01-07 15:30:00,1014.2,0.002859,0.00057,0.526,285.0,0.00326,1e-06,-0.00379,-2.3135,-16.1
2018-01-07 16:00:00,279.9,0.010362,0.000573,0.474,286.0,0.00322,1.33e-06,-1.26078,3.607,-42.64
