TimeStamp,WS,L,zL,C_CO2,ustar,Tsonic,q,sd_C_CO2,F_CO2,Q_E,Q_H
timestamp,m.s-1,m,dimensionless,mmol.m-3,m.s-1,Celsius,kg.kg-1,mmol.m-3,umol.m-2.s-1,W.m-2,W.m-2
2018-07-09 00:30:00,,,,,,,,,,,
2018-07-09 01:00:00,,,,,,,,,,,
2018-07-09 01:30:00,0.2796,3.27,0.885714,0.00059,0.0135,292.0,0.00919,4.88e-06,-0.0931,0.0815,-0.154
2018-07-09 02:00:00,0.1078,-5.15,-0.563489,0.00059,0.0465,292.0,0.00927,3.98e-06,0.4201,0.1725,4.006
2018-07-09 02:30:00,0.2579,-4.66,-0.622747,0.000596,0.0362,292.0,0.00929,4.58e-06,-0.3058,0.6989,2.097
2018-07-09 03:00:00,0.2399,-12.7,-0.228399,0.000605,0.0298,291.0,0.00929,4.95e-06,-0.4336,0.2637,0.427
2018-07-09 03:30:00,0.2036,4.29,0.676453,0.00062,0.0194,291.0,0.00929,3.71e-06,0.3863,-2.4633,-0.347
2018-07-09 04:00:00,0.3103,3.08,0.941188,0.000637,0.0183,291.0,0.00942,7.38e-06,0.218,0.257,-0.417
2018-07-09 04:30:00,0.0966,-10.57,-0.274413,0.000639,0.0836,291.0,,9.32e-06,-3.2768,,11.649
2018-07-09 05:00:00,0.2889,-15.35,-0.188975,0.000639,0.0656,291.0,,2.77e-06,-0.4767,,4.124
2018-07-09 05:30:00,0.1312,43.28,0.067011,0.000642,0.0417,291.0,0.01019,3.69e-06,0.0116,0.4947,-0.394
2018-07-09 06:00:00,0.2556,-11.17,-0.259734,0.000636,0.0361,291.0,0.01046,3.4e-06,0.4393,12.8717,1.035
2018-07-09 06:30:00,0.4299,-10.11,-0.286804,0.000637,0.0773,291.0,0.01034,6.68e-06,2.0183,23.3921,11.115
2018-07-09 07:00:00,0.3392,-8.79,-0.329944,0.000606,0.1064,292.0,0.00989,5.33e-06,-4.3063,27.5213,31.3
2018-07-09 07:30:00,,,,,,,,,,,
2018-07-09 08:00:00,,,,,,,,,,,
2018-07-09 08:30:00,,,,,,,,,,,
2018-07-09 09:00:00,,,,,,,,,,,
2018-07-09 09:30:00,,,,,,,,,,,
2018-07-09 10:00:00,,,,,,,,,,,
2018-07-09 10:30:00,,,,,,,,,,,
2018-07-09 11:00:00,,,,,,,,,,,
2018-07-09 11:30:00,,,,,,,,,,,
2018-07-09 12:00:00,,,,,,,,,,,
2018-07-09 12:30:00,,,,,,,,,,,
2018-07-09 13:00:00,,,,,,,,,,,
2018-07-09 13:30:00,,,,,,,,,,,
2018-07-09 14:00:00,,,,,,,,,,,
2018-07-09 14:30:00,,,,,,,,,,,
2018-07-09 15:00:00,,,,,,,,,,,
2018-07-09 15:30:00,,,,,,,,,,,
2018-07-09 16:00:00,,,,,,,,,,,
2018-07-09 16:30:00,,,,,,,,,,,
2018-07-09 17:00:00,,,,,,,,,,,
2018-07-09 17:30:00,,,,,,,,,,,
2018-07-09 18:00:00,,,,,,,,,,,
2018-07-09 18:30:00,,,,,,,,,,,
2018-07-09 19:00:00,,,,,,,,,,,
2018-07-09 19:30:00,,,,,,,,,,,
2018-07-09 20:00:00,,,,,,,,,,,
2018-07-09 20:30:00,1.652,760.5,0.003813,0.000538,0.4172,295.0,0.00988,3.14e-06,4.5453,-5.5359,-21.56
2018-07-09 21:00:00,1.9783,830.38,0.003492,0.000546,0.3904,295.0,0.00956,9.7e-07,1.2731,-7.5669,-15.427
2018-07-09 21:30:00,1.5164,784.18,0.003698,0.00055,0.3421,294.0,0.00968,1.18e-06,-0.566,1.0958,-11.175
2018-07-09 22:00:00,1.6038,820.76,0.003533,0.000551,0.315,293.0,0.01015,6.36e-07,0.3509,10.6564,-8.943
2018-07-09 22:30:00,1.2334,1395.15,0.002079,0.000551,0.2328,293.0,0.01041,5.99e-07,1.0536,0.679,-2.213
2018-07-09 23:00:00,1.2842,-17686.45,-0.000164,0.000544,0.3928,293.0,0.01013,3.89e-06,12.5887,81.9525,0.802
2018-07-09 23:30:00,1.4161,386.59,0.007501,0.000541,0.267,293.0,0.00961,6.96e-07,0.7518,-5.5295,-10.646
2018-07-10 00:00:00,1.2246,3707.79,0.000782,0.000542,0.312,293.0,0.00956,7.24e-07,-1.5003,-6.942,-1.758
2018-07-10 00:30:00,,,,,,,,,,,
2018-07-10 01:00:00,,,,,,,,,,,
2018-07-10 01:30:00,1.533,1680.5,0.001726,0.000542,0.3365,292.0,0.00854,7.18e-07,0.60927,5.1011,-4.251
2018-07-10 02:00:00,1.892,-394.2,-0.007357,0.000544,0.3137,291.0,0.00866,7.63e-07,1.20465,-5.1193,14.883
2018-07-10 02:30:00,1.45,255.4,0.011354,0.000546,0.2245,291.0,0.00856,6.59e-07,0.92646,1.9252,-8.301
