TimeStamp,L,C_CO2,ustar,sd_C_CO2,F_CO2,Q_E,Q_H
timestamp,m,mmol.m-3,m.s-1,mmol.m-3,umol.m-2.s-1,W.m-2,W.m-2
2018-10-01 00:30:00,,,,,,,
2018-10-01 01:00:00,,,,,,,
2018-10-01 01:30:00,73.4,0.000567,0.253,1.09e-06,1.288,0.798,-29.0862
2018-10-01 02:00:00,74.6,0.000569,0.2692,1.17e-06,0.59,-3.689,-34.4443
2018-10-01 02:30:00,45.4,0.000569,0.2133,1.56e-06,2.5247,-2.993,-28.1288
2018-10-01 03:00:00,54.3,0.000572,0.2615,1.7e-06,1.9692,1.579,-43.2977
2018-10-01 03:30:00,24.7,0.000575,0.1909,1.41e-06,1.9393,-3.485,-37.2827
2018-10-01 04:00:00,162.0,0.000576,0.2715,1.51e-06,1.3496,10.752,-16.3802
2018-10-01 04:30:00,25.6,0.000581,0.1522,2.1e-06,1.7608,-7.815,-18.2826
2018-10-01 05:00:00,60.7,0.00058,0.2652,1.85e-06,3.7061,-12.105,-41.095
2018-10-01 05:30:00,-302.0,0.000583,0.2784,2.32e-06,-2.4687,25.512,9.5559
2018-10-01 06:00:00,133.0,0.000583,0.2975,1.38e-06,0.2479,-0.528,-26.6191
2018-10-01 06:30:00,-1160.0,0.000586,0.4249,2.17e-06,-4.0163,28.718,8.8459
2018-10-01 07:00:00,482.0,0.000583,0.1769,2.98e-06,2.2149,,-1.5406
2018-10-01 07:30:00,-109000.0,0.000576,0.3142,1.43e-06,-3.4442,18.518,0.0384
2018-10-01 08:00:00,-290.0,0.00057,0.3203,3.11e-06,-4.5263,18.243,15.2418
2018-10-01 08:30:00,-14.9,0.000561,0.1673,1.8e-06,-4.9818,41.041,42.1933
2018-10-01 09:00:00,-12.4,0.000557,0.1639,1.78e-06,-6.1802,58.311,47.1568
2018-10-01 09:30:00,-33.3,0.000555,0.2742,1.76e-06,-6.7158,73.063,82.0877
2018-10-01 10:00:00,-42.3,0.000553,0.3231,1.78e-06,-7.2548,92.06,105.6291
2018-10-01 10:30:00,-35.1,0.000551,0.2828,2.96e-06,-5.1008,80.176,84.0612
2018-10-01 11:00:00,-90.6,0.000548,0.403,1.79e-06,-6.3885,85.706,91.9264
2018-10-01 11:30:00,-112.0,0.000548,0.4901,2.02e-06,-5.8714,82.055,132.9035
2018-10-01 12:00:00,-36.9,0.000546,0.4094,2.34e-06,3.8987,81.334,233.1049
2018-10-01 12:30:00,-56.1,0.000547,0.3468,2.1e-06,-6.0082,92.764,92.5074
2018-10-01 13:00:00,-58.1,0.000546,0.4372,2.34e-06,-1.8671,98.694,177.344
2018-10-01 13:30:00,-20.8,0.000548,0.208,2.37e-06,-5.0121,69.806,53.9386
2018-10-01 14:00:00,-151.0,0.000548,0.3712,2.82e-06,-7.0142,91.023,42.7348
2018-10-01 14:30:00,-251.0,0.000549,0.4303,1.77e-06,-7.7238,106.746,39.5069
2018-10-01 15:00:00,889.0,0.000551,0.2923,1.45e-06,-4.3916,56.451,-3.4985
2018-10-01 15:30:00,-397.0,0.000551,0.4389,2.89e-06,-0.4696,28.598,26.682
2018-10-01 16:00:00,130.0,0.000553,0.2257,1.29e-06,-2.8382,34.666,-11.1552
2018-10-01 16:30:00,229.0,0.000552,0.1195,1.21e-06,-0.8878,16.392,-0.9469
2018-10-01 17:00:00,-95.9,0.000551,0.2388,1.46e-06,0.2943,23.713,18.0702
2018-10-01 17:30:00,84.2,0.000552,0.266,1.53e-06,0.8031,18.667,-28.5374
2018-10-01 18:00:00,27.6,0.000557,0.1362,2.19e-06,1.4117,5.801,-11.7645
2018-10-01 18:30:00,8.71,0.000566,0.0786,3.93e-06,1.2837,3.838,-7.2439
2018-10-01 19:00:00,70.9,0.000563,0.3282,3.37e-06,-7.7653,6.185,-65.9507
2018-10-01 19:30:00,186.0,0.000565,0.3177,2.03e-06,3.519,5.566,-22.9079
2018-10-01 20:00:00,50.3,0.000565,0.1755,2.06e-06,0.0492,-0.642,-14.5313
2018-10-01 20:30:00,186.0,0.000563,0.349,1.25e-06,0.0175,6.258,-31.3334
2018-10-01 21:00:00,123.0,0.000564,0.2568,1.29e-06,0.7559,2.102,-18.7801
2018-10-01 21:30:00,522.0,0.000563,0.4726,1.41e-06,2.4652,13.878,-27.6788
2018-10-01 22:00:00,74.1,0.000562,0.2012,1.27e-06,1.2466,7.907,-15.0447
2018-10-01 22:30:00,35.1,0.000564,0.1929,1.53e-06,-0.3091,4.673,-27.8543
2018-10-01 23:00:00,111.0,0.000565,0.2408,1.59e-06,0.3656,9.171,-17.1274
2018-10-01 23:30:00,359.0,0.000564,0.3867,9.94e-07,-0.2179,6.26,-21.7478
2018-10-02 00:00:00,124.0,0.000563,0.2226,1.26e-06,2.4251,9.264,-11.8912
2018-10-02 00:30:00,,,,,,,
2018-10-02 01:00:00,,,,,,,
2018-10-02 01:30:00,1204.7,0.000562,0.229,1.2e-06,1.119,6.895,-1.41
2018-10-02 02:00:00,179.5,0.000565,0.237,8.75e-07,0.31,0.847,-10.34
2018-10-02 02:30:00,1308.3,0.000564,0.303,7.84e-07,1.416,9.006,-2.97
2018-10-02 03:00:00,529.8,0.000565,0.275,9.58e-07,1.25,-8.484,-5.6
2018-10-02 03:30:00,240.3,0.000574,0.262,1.03e-05,1.713,,-10.88
2018-10-02 04:00:00,93.7,0.000648,0.261,2.19e-05,19.774,,-29.25
2018-10-02 04:30:00,,,,,,,
2018-10-02 05:00:00,,,,,,,
2018-10-02 05:30:00,333.3,0.000566,0.2,2.9e-06,1.198,11.755,-4.06
2018-10-02 06:00:00,950.3,0.000565,0.359,1.33e-06,1.764,9.108,-8.58
2018-10-02 06:30:00,711.8,0.000563,0.468,2.7e-06,5.855,-36.963,-27.23
2018-10-02 07:00:00,533.5,0.00056,0.342,7.35e-07,0.15,15.553,-14.45
2018-10-02 07:30:00,-690.9,0.000557,0.36,1.69e-06,-2.052,9.696,13.3
