TimeStamp,L,zL,C_CO2,ustar,sd_C_CO2,F_CO2,Q_E,Q_H
timestamp,m,dimensionless,mmol.m-3,m.s-1,mmol.m-3,umol.m-2.s-1,W.m-2,W.m-2
2018-04-07 00:30:00,21.85,0.132699,0.000653,0.0508,1.66e-05,0.428,0.274,-0.828
2018-04-07 01:00:00,10.91,0.265838,0.00063,0.0495,8.99e-06,2.3,-0.447,-1.533
2018-04-07 01:30:00,9.26,0.313298,0.000624,0.061,3.27e-06,0.335,-0.107,-3.36
2018-04-07 02:00:00,3.12,0.928343,0.000646,0.0476,1.18e-05,3.356,-10.245,-4.649
2018-04-07 02:30:00,18.86,0.153795,0.000642,0.061,6.92e-06,3.247,-3.397,-1.635
2018-04-07 03:00:00,7.28,0.39808,0.000643,0.0766,7.11e-06,1.685,0.372,-8.375
2018-04-07 03:30:00,-11.06,-0.262215,0.000642,0.0716,4.07e-06,-1.441,4.424,4.522
2018-04-07 04:00:00,-12.5,-0.232056,0.00064,0.038,5.42e-06,0.801,-0.225,0.597
2018-04-07 04:30:00,-58.06,-0.049946,0.000647,0.0423,1.67e-05,-1.861,2.165,0.178
2018-04-07 05:00:00,41.05,0.070639,0.000645,0.1533,5.7e-06,0.821,-1.604,-12.167
2018-04-07 05:30:00,73.22,0.039607,0.000659,0.1731,3.14e-06,2.388,-0.624,-9.822
2018-04-07 06:00:00,69.65,0.041636,0.000667,0.1662,2.16e-06,2.481,3.439,-9.171
2018-04-07 06:30:00,123.76,0.023433,0.000661,0.2623,5.66e-06,13.461,-19.262,-20.46
2018-04-07 07:00:00,550.08,0.005272,0.000652,0.2387,1.3e-06,0.688,6.758,-3.502
2018-04-07 07:30:00,267.84,0.010827,0.000643,0.1971,5.65e-06,5.102,-1.815,-4.077
2018-04-07 08:00:00,345.29,0.008399,0.000627,0.188,4.17e-06,0.731,0.546,-2.773
2018-04-07 08:30:00,149.82,0.019357,0.000614,0.1925,1.56e-06,0.032,12.733,-6.926
2018-04-07 09:00:00,-141.13,-0.020548,0.00061,0.2598,7.53e-06,1.588,10.577,18.48
2018-04-07 09:30:00,-159.94,-0.018132,0.000575,0.393,3.79e-06,-14.927,100.234,59.381
2018-04-07 10:00:00,-150.3,-0.019294,0.000575,0.3296,9.29e-06,1.739,100.891,38.638
2018-04-07 10:30:00,-97.4,-0.029774,0.000567,0.3887,3.27e-06,-18.238,143.185,98.629
2018-04-07 11:00:00,-448.57,-0.006465,0.000567,0.3491,2.24e-06,-11.113,64.608,15.564
2018-04-07 11:30:00,-2738.25,-0.001059,0.000567,0.4147,1.89e-06,-10.72,72.947,4.306
2018-04-07 12:00:00,-481.91,-0.006018,0.000568,0.3992,2.1e-06,-12.244,84.532,21.807
2018-04-07 12:30:00,-1057.54,-0.002742,0.00057,0.3629,1.35e-06,-6.358,54.999,7.488
2018-04-07 13:00:00,-236.68,-0.012253,0.00057,0.3214,1.25e-06,-4.946,42.008,23.197
2018-04-07 13:30:00,-197.55,-0.01468,0.000568,0.2992,4.49e-06,-6.642,61.163,22.429
2018-04-07 14:00:00,-87.52,-0.033137,0.000565,0.2974,2.32e-06,-7.618,66.244,49.797
2018-04-07 14:30:00,-3322.25,-0.000873,0.000565,0.3494,3.06e-06,-8.724,53.3,2.111
2018-04-07 15:00:00,-87.26,-0.033236,0.000557,0.1646,3.84e-06,-18.036,64.425,8.497
2018-04-07 15:30:00,-540.39,-0.005366,0.000554,0.2452,2.3e-06,-10.633,66.894,4.395
2018-04-07 16:00:00,-579.17,-0.005007,0.000559,0.367,2.08e-06,-5.259,66.183,13.752
2018-04-07 16:30:00,267.44,0.010844,0.000561,0.1828,1.29e-06,-2.298,17.513,-3.715
2018-04-07 17:00:00,191.34,0.015156,0.000561,0.1769,1.19e-06,0.238,15.692,-4.716
2018-04-07 17:30:00,84.27,0.034415,0.000562,0.2122,1.1e-06,-1.554,2.305,-18.508
2018-04-07 18:00:00,103.91,0.027909,0.000562,0.201,1.4e-06,1.019,2.949,-12.703
2018-04-07 18:30:00,551.85,0.005255,0.000568,0.2674,2.67e-06,-1.878,2.018,-5.616
2018-04-07 19:00:00,75.13,0.038598,0.000578,0.1626,2.91e-06,0.599,3.318,-9.207
2018-04-07 19:30:00,296.63,0.009777,0.000584,0.2201,2.37e-06,1.396,9.883,-5.701
2018-04-07 20:00:00,106.05,0.027345,0.000583,0.2171,2.46e-06,-1.488,-10.082,-15.065
2018-04-07 20:30:00,109.28,0.026538,0.000581,0.2308,1.69e-06,0.923,-4.098,-17.288
2018-04-07 21:00:00,51.42,0.056395,0.000584,0.1649,2.11e-06,2.559,-4.195,-13.413
2018-04-07 21:30:00,163.23,0.017766,0.000587,0.223,2.28e-06,0.194,0.3,-10.495
2018-04-07 22:00:00,50.89,0.056984,0.000593,0.1628,3.52e-06,1.48,-2.95,-13.117
2018-04-07 22:30:00,139.43,0.0208,0.000594,0.2309,3.47e-06,4.263,1.599,-13.728
2018-04-07 23:00:00,261.88,0.011074,0.000593,0.2003,2.64e-06,1.728,-3.118,-4.77
2018-04-07 23:30:00,56.3,0.051512,0.000596,0.1509,3.58e-06,1.24,13.543,-9.363
2018-04-08 00:00:00,30.23,0.095936,0.000595,0.1269,2.5e-06,-1.553,-0.804,-10.455
