TimeStamp,L,C_CO2,ustar,nSamples,sd_C_CO2,F_CO2,Q_E,Q_H
timestamp,m,mmol.m-3,m.s-1,samples/interval,mmol.m-3,umol.m-2.s-1,W.m-2,W.m-2
2018-07-10 00:30:00,,,,0.0,,,,
2018-07-10 01:00:00,,,,0.0,,,,
2018-07-10 01:30:00,1680.5,0.000542,0.3365,18000.0,7.18e-07,0.60927,5.1011,-4.251
2018-07-10 02:00:00,-394.2,0.000544,0.3137,18000.0,7.63e-07,1.20465,-5.1193,14.883
2018-07-10 02:30:00,255.4,0.000546,0.2245,18000.0,6.59e-07,0.92646,1.9252,-8.301
2018-07-10 03:00:00,307.8,0.000546,0.2015,18000.0,7.39e-07,0.71254,3.0683,-4.958
2018-07-10 03:30:00,1244.6,0.000548,0.3862,18000.0,9.47e-07,-1.37973,16.4695,-8.517
2018-07-10 04:00:00,16.2,0.000551,0.0974,18000.0,1.27e-06,0.21047,1.2547,-10.413
2018-07-10 04:30:00,24.0,0.00055,0.1225,18000.0,1.75e-06,-1.66225,2.4061,-13.862
2018-07-10 05:00:00,180.9,0.000546,0.2459,18000.0,9.99e-07,0.30633,-3.16,-14.524
2018-07-10 05:30:00,199.9,0.000546,0.2082,18000.0,7.95e-07,0.56591,5.3144,-8.01
2018-07-10 06:00:00,-18712.9,0.000545,0.3757,18000.0,1.43e-06,-2.40709,40.7208,0.506
2018-07-10 06:30:00,,,,0.0,,,,
2018-07-10 07:00:00,,,,0.0,,,,
2018-07-10 07:30:00,-131.1,0.00054,0.3785,18000.0,1.01e-06,-0.75541,,65.205
2018-07-10 08:00:00,-61.0,0.00054,0.3509,18000.0,1.23e-06,1.48916,28.6823,107.837
2018-07-10 08:30:00,-58.2,0.000538,0.3708,18000.0,1.26e-06,0.39489,53.0057,133.1
2018-07-10 09:00:00,-53.2,0.000537,0.3463,18000.0,1.41e-06,-2.24657,41.6134,117.843
2018-07-10 09:30:00,-23.6,0.000536,0.3049,18000.0,1.17e-06,0.6342,20.6397,179.286
2018-07-10 10:00:00,-118.2,0.000535,0.583,18000.0,1.08e-06,-1.86473,71.7581,240.322
2018-07-10 10:30:00,-63.6,0.000535,0.46,18000.0,1.02e-06,-0.7618,58.8394,217.894
2018-07-10 11:00:00,-84.0,0.000536,0.552,18000.0,1.43e-06,2.1457,51.2473,285.864
2018-07-10 11:30:00,,,,0.0,,,,
2018-07-10 12:00:00,,,,0.0,,,,
2018-07-10 12:30:00,-64.7,0.000534,0.4834,18000.0,1.23e-06,1.41129,62.1443,248.469
2018-07-10 13:00:00,-26.8,0.000534,0.3596,18000.0,1.16e-06,-1.39095,62.3585,248.087
2018-07-10 13:30:00,-56.8,0.000535,0.4595,18000.0,9.87e-07,-1.37837,62.7702,244.805
2018-07-10 14:00:00,-91.8,0.000534,0.4957,18000.0,8.14e-07,-0.7226,31.9234,193.911
2018-07-10 14:30:00,-73.2,0.000534,0.4532,18000.0,8.16e-07,0.08051,-4.7597,187.876
2018-07-10 15:00:00,-37.9,0.000533,0.3517,18000.0,7.01e-07,-0.57909,30.6285,171.736
2018-07-10 15:30:00,,,,0.0,,,,
2018-07-10 16:00:00,,,,0.0,,,,
2018-07-10 16:30:00,-60.5,0.000534,0.3488,18000.0,6.9e-07,-0.81295,29.9336,108.514
2018-07-10 17:00:00,-58.9,0.000534,0.3563,18000.0,5.83e-07,-0.37852,29.3806,119.494
2018-07-10 17:30:00,-359.6,0.000532,0.3618,18000.0,1.02e-06,1.57774,7.6072,20.651
2018-07-10 18:00:00,-56.7,0.000531,0.2917,18000.0,8.06e-07,0.13528,18.2929,68.77
2018-07-10 18:30:00,-108.1,0.00053,0.3155,18000.0,5.35e-07,0.37479,19.8902,45.861
2018-07-10 19:00:00,-372.7,0.00053,0.2827,18000.0,4.59e-07,0.40725,13.9095,9.666
2018-07-10 19:30:00,-617.0,0.000531,0.326,18000.0,5.65e-07,0.77621,6.1192,9.129
2018-07-10 20:00:00,315.8,0.000533,0.3861,18000.0,1.3e-06,-9.48772,-45.674,-30.088
2018-07-10 20:30:00,87.4,0.000536,0.1834,18000.0,1.35e-06,-1.01473,-3.2664,-11.837
2018-07-10 21:00:00,142.0,0.000538,0.24,18000.0,8.87e-07,-0.1526,0.0602,-16.575
2018-07-10 21:30:00,95.7,0.000539,0.2222,18000.0,1.41e-06,0.20845,-0.9359,-19.69
2018-07-10 22:00:00,86.4,0.000542,0.1904,18000.0,1.02e-06,-0.00123,0.984,-13.916
2018-07-10 22:30:00,66.5,0.000543,0.1699,18000.0,9.78e-07,1.65783,-1.194,-13.062
2018-07-10 23:00:00,62.8,0.000543,0.1748,18000.0,1.58e-06,0.30615,-0.365,-15.153
2018-07-10 23:30:00,25.8,0.000543,0.0978,18000.0,1.65e-06,0.14865,2.1767,-6.496
2018-07-11 00:00:00,34.1,0.000545,0.1149,17999.0,1.67e-06,1.07154,-1.811,-7.956
