TimeStamp,L,C_CO2,ustar,sd_C_CO2,F_CO2,Q_E,Q_H
timestamp,m,mmol.m-3,m.s-1,mmol.m-3,umol.m-2.s-1,W.m-2,W.m-2
2018-01-01 00:30:00,115.3,0.000562,0.4002,1.18e-06,-1.1648,-3.9303,-70.13
2018-01-01 01:00:00,62.0,0.000563,0.2773,1.21e-06,0.4232,-2.5736,-42.91
2018-01-01 01:30:00,194.7,0.000566,0.4834,3.69e-06,3.0581,-2.6173,-72.43
2018-01-01 02:00:00,296.9,0.000571,0.4048,1.05e-05,-6.1403,,-28.23
2018-01-01 02:30:00,32.9,0.000558,0.2329,1.76e-05,-31.5957,,-47.36
2018-01-01 03:00:00,251.8,0.000573,0.3504,7.42e-06,12.8585,,-20.96
2018-01-01 03:30:00,118.5,0.000581,0.345,2.86e-05,-7.6952,,-42.97
2018-01-01 04:00:00,,,,,,,
2018-01-01 04:30:00,,,,,,,
2018-01-01 05:00:00,117.9,0.000581,0.3317,5.25e-06,4.9536,,-38.07
2018-01-01 05:30:00,141.6,0.000574,0.3542,4.24e-06,3.7934,-6.1082,-38.51
2018-01-01 06:00:00,100.2,0.000568,0.3241,1.87e-06,1.939,-8.0961,-41.93
2018-01-01 06:30:00,70.6,0.000569,0.2836,2.94e-06,4.0307,9.2796,-40.07
2018-01-01 07:00:00,320.3,0.000567,0.385,1.85e-06,-3.0484,23.5223,-22.23
2018-01-01 07:30:00,61.5,0.000567,0.2634,1.12e-06,-1.0643,-4.5767,-37.18
2018-01-01 08:00:00,47.9,0.000568,0.1973,1.14e-06,0.3851,0.1342,-20.07
2018-01-01 08:30:00,12.0,0.000569,0.1212,1.09e-06,-0.0452,-0.1878,-18.49
2018-01-01 09:00:00,52.7,0.000574,0.181,3.25e-06,-0.0845,0.464,-14.08
2018-01-01 09:30:00,26.4,0.000586,0.0835,8.95e-06,-0.0565,-0.0826,-2.76
2018-01-01 10:00:00,68.5,0.000584,0.1342,7.14e-06,-1.3712,2.4346,-4.44
2018-01-01 10:30:00,71.5,0.000586,0.1104,4.44e-06,-2.464,2.0439,-2.39
2018-01-01 11:00:00,27.3,0.000581,0.0746,4.04e-06,0.3603,0.8949,-1.95
2018-01-01 11:30:00,90.0,0.000577,0.1366,3.04e-06,0.0694,5.0526,-3.72
2018-01-01 12:00:00,-533.3,0.000567,0.3413,3.14e-06,2.0908,6.3608,9.94
2018-01-01 12:30:00,120.9,0.000562,0.1599,9.71e-07,0.1594,2.6892,-4.53
2018-01-01 13:00:00,-1966.8,0.000503,0.3798,3.61e-05,-11.9285,,3.64
2018-01-01 13:30:00,3486.5,0.000566,0.4588,2.1e-05,129.1636,,-3.55
2018-01-01 14:00:00,-1989.6,0.000567,0.6275,8.57e-06,19.1324,,15.94
2018-01-01 14:30:00,306.1,0.00056,0.4442,1.52e-06,-3.095,16.3212,-36.34
2018-01-01 15:00:00,441.3,0.000562,0.2366,8.97e-07,-0.4189,-7.2557,-3.81
2018-01-01 15:30:00,,0.000562,0.4531,1.25e-06,-5.0987,3.5058,
2018-01-01 16:00:00,93.0,0.000565,0.3184,9.12e-06,-10.451,,-44.07
2018-01-01 16:30:00,212.4,0.000571,0.4482,9.22e-06,-33.8685,,-54.09
2018-01-01 17:00:00,50.9,0.000568,0.2918,1.99e-06,0.8661,-20.1892,-61.66
2018-01-01 17:30:00,78.4,0.000568,0.3586,1.38e-06,0.1057,-11.3201,-73.39
2018-01-01 18:00:00,,0.000566,0.5281,1.12e-06,-2.276,2.6795,
2018-01-01 18:30:00,131.1,0.000566,0.434,1.19e-06,-1.8085,1.0411,-76.36
2018-01-01 19:00:00,298.4,0.000566,0.6041,1.08e-06,-2.1546,6.8142,-91.13
2018-01-01 19:30:00,,0.000565,0.4327,1.02e-06,-3.0481,1.7381,
2018-01-01 20:00:00,343.9,0.000565,0.6336,1.01e-06,-1.6386,-17.0032,-91.3
2018-01-01 20:30:00,150.8,0.000565,0.4898,1.16e-06,-1.791,-7.2058,-95.93
2018-01-01 21:00:00,229.6,0.000566,0.5108,1.21e-06,-2.3007,-2.451,-71.38
2018-01-01 21:30:00,,0.000566,0.8766,1.13e-06,-6.8488,1.8758,
2018-01-01 22:00:00,290.3,0.000566,0.5901,1.11e-06,-2.7162,-3.6236,-86.68
2018-01-01 22:30:00,276.8,0.000566,0.5604,1.06e-06,-0.814,0.314,-77.52
2018-01-01 23:00:00,108.8,0.000567,0.4027,1.07e-06,-0.4014,7.1819,-73.14
2018-01-01 23:30:00,96.9,0.000567,0.3656,1.2e-06,-1.0137,-1.9932,-60.96
2018-01-02 00:00:00,56.0,0.000568,0.2687,1.12e-06,-1.1905,0.5451,-41.81
2018-01-02 00:30:00,,0.000568,0.3767,1.39e-06,-8.5926,-7.3376,
2018-01-02 01:00:00,117.2,0.000571,0.4381,1.64e-06,-6.9164,-6.7136,-87.477
2018-01-02 01:30:00,173.7,0.000573,0.4132,1.17e-06,-0.4874,-2.3413,-49.7438
2018-01-02 02:00:00,107.9,0.000573,0.312,1.45e-06,0.2512,-4.0591,-34.4945
2018-01-02 02:30:00,36.7,0.000574,0.2136,1.49e-06,2.229,-2.7863,-32.3464
2018-01-02 03:00:00,57.2,0.000573,0.2807,1.37e-06,1.3983,-2.6618,-47.0504
2018-01-02 03:30:00,43.9,0.000574,0.2203,1.37e-06,3.5862,-4.5545,-29.5771
2018-01-02 04:00:00,-11.1,0.000576,0.0787,1.92e-06,1.6441,-2.7215,5.2957
2018-01-02 04:30:00,18.2,0.000581,0.0946,3.56e-06,-0.0196,0.0135,-5.5964
2018-01-02 05:00:00,16.6,0.000583,0.0943,4.24e-06,-0.1136,0.4202,-6.1055
2018-01-02 05:30:00,15.1,0.000584,0.1641,7.05e-06,6.4866,-9.006,-35.4457
2018-01-02 06:00:00,25.4,0.00059,0.2002,5.22e-06,6.1658,-5.0897,-38.5922
2018-01-02 06:30:00,55.3,0.00059,0.2608,3.69e-06,0.2834,-5.6643,-39.4952
2018-01-02 07:00:00,134.0,0.000584,0.3101,4.43e-06,1.1872,3.2501,-27.3837
2018-01-02 07:30:00,42.4,0.000585,0.1512,2.95e-06,-1.4529,-0.455,-9.9676
2018-01-02 08:00:00,82.9,0.000589,0.1845,2.38e-06,-0.9525,1.0524,-9.2964
2018-01-02 08:30:00,121.3,0.000595,0.1685,5.26e-06,3.9636,3.6992,-4.8647
2018-01-02 09:00:00,133.8,0.000592,0.2641,2.43e-06,0.9694,-9.1811,-17.1745
2018-01-02 09:30:00,4112.1,0.000614,0.1465,4.37e-05,-11.925,,-0.0963
2018-01-02 10:00:00,,,,,,,
2018-01-02 10:30:00,,,,,,,
2018-01-02 11:00:00,,,,,,,
2018-01-02 11:30:00,,,,,,,
2018-01-02 12:00:00,,,,,,,
2018-01-02 12:30:00,,,,,,,
2018-01-02 13:00:00,,,,,,,
2018-01-02 13:30:00,,,,,,,
2018-01-02 14:00:00,,,,,,,
2018-01-02 14:30:00,159.3,0.000667,0.2997,4.21e-06,100.1981,,-27.2296
2018-01-02 15:00:00,239.9,0.000655,0.3329,5.18e-06,0.5842,29.6786,-24.7742
2018-01-02 15:30:00,-185.4,0.000635,0.2326,1.13e-05,33.3761,,10.6448
2018-01-02 16:00:00,39.7,0.000582,0.1526,1.28e-05,-9.3895,,-13.7588
2018-01-02 16:30:00,24.4,0.000554,0.1619,3.44e-06,-5.5924,,-26.6373
2018-01-02 17:00:00,242.5,0.000555,0.3669,1.41e-06,-2.1145,-3.2884,-30.5471
2018-01-02 17:30:00,268.0,0.000557,0.3857,1.12e-06,0.5566,1.6229,-31.473
2018-01-02 18:00:00,85.6,0.000561,0.2526,2.2e-06,1.4336,1.0862,-27.3694
2018-01-02 18:30:00,122.2,0.000562,0.2776,2.48e-06,0.2569,-1.3217,-25.8695
2018-01-02 19:00:00,348.1,0.000561,0.3777,1.03e-06,-0.3644,5.6943,-22.8568
2018-01-02 19:30:00,,,0.7864,,,,
2018-01-02 20:00:00,,,,,,,
2018-01-02 20:30:00,,,,,,,
2018-01-02 21:00:00,,,,,,,
2018-01-02 21:30:00,,,,,,,
2018-01-02 22:00:00,,,,,,,
2018-01-02 22:30:00,,,,,,,
2018-01-02 23:00:00,,,,,,,
2018-01-02 23:30:00,,,,,,,
2018-01-03 00:00:00,,,,,,,
2018-01-03 00:30:00,14544.99,0.000553,1.169,1.5e-06,3.8781,-57.623,-15.1
2018-01-03 01:00:00,500.38,0.000556,0.657,1.1e-06,-1.7386,8.739,-77.09
2018-01-03 01:30:00,280.12,0.000557,0.557,1.03e-06,-2.596,18.817,-82.85
2018-01-03 02:00:00,,0.000557,0.692,8.65e-07,-3.5915,23.306,
2018-01-03 02:30:00,,0.00058,0.971,2.23e-05,-9.1295,,
2018-01-03 03:00:00,,0.000558,0.706,3.34e-06,-9.1509,,
2018-01-03 03:30:00,592.7,0.000558,0.76,1.29e-06,-1.7372,8.889,-89.24
2018-01-03 04:00:00,437.64,0.000558,0.699,8.9e-07,-2.4551,22.262,-92.98
2018-01-03 04:30:00,,0.000558,0.749,8.89e-07,-5.0942,-2.941,
2018-01-03 05:00:00,,0.000558,0.686,8.1e-07,-3.1731,0.691,
2018-01-03 05:30:00,507.51,0.000559,0.75,8.39e-07,-3.1657,4.829,-98.62
2018-01-03 06:00:00,521.7,0.000559,0.76,1.06e-06,-0.819,-9.689,-99.47
2018-01-03 06:30:00,313.57,0.00056,0.619,1.01e-06,-2.9294,0.96,-89.06
2018-01-03 07:00:00,306.76,0.00056,0.624,9.09e-07,-4.3258,1.112,-94.0
2018-01-03 07:30:00,687.69,0.000559,0.781,9.13e-07,-1.6109,-10.771,-82.94
2018-01-03 08:00:00,669.93,0.00056,0.755,3.53e-06,-6.7428,29.9,-77.6
2018-01-03 08:30:00,,0.000559,0.694,9.23e-07,-4.0726,16.15,
2018-01-03 09:00:00,785.33,0.00056,0.806,7.9e-07,-3.1691,-3.158,-80.35
2018-01-03 09:30:00,405.89,0.000559,0.598,7.08e-07,-4.524,17.714,-63.93
2018-01-03 10:00:00,724.68,0.000557,0.779,8.25e-07,-5.2351,6.037,-80.14
2018-01-03 10:30:00,551.02,0.000555,0.734,6.17e-07,-3.5865,8.65,-88.54
2018-01-03 11:00:00,2349.34,0.000555,0.881,6.28e-07,-2.6776,35.338,-36.15
2018-01-03 11:30:00,2085.82,0.000555,1.085,6.83e-07,-7.0733,-38.709,-75.6
2018-01-03 12:00:00,1301.95,0.000553,0.71,1.11e-06,-2.9938,31.331,-34.18
2018-01-03 12:30:00,3456.53,0.000554,1.314,8.59e-07,-5.111,50.978,-80.82
2018-01-03 13:00:00,644.72,0.000553,0.6,8.72e-07,-2.1054,-8.685,-41.22
2018-01-03 13:30:00,963.64,0.000553,0.728,8.58e-07,-3.3833,19.29,-49.03
2018-01-03 14:00:00,,0.000553,1.07,6.21e-07,-8.4176,15.304,
2018-01-03 14:30:00,671.1,0.000554,0.795,6.01e-07,-4.5482,-5.286,-92.43
2018-01-03 15:00:00,927.57,0.000554,0.635,8.18e-07,-5.3272,-82.537,-34.26
2018-01-03 15:30:00,369.24,0.000555,0.554,7.48e-07,-5.319,12.16,-56.99
2018-01-03 16:00:00,457.7,0.000556,0.52,8.74e-07,-3.525,-33.662,-38.4
2018-01-03 16:30:00,301.19,0.000558,0.51,1.22e-06,-0.7944,5.227,-56.42
2018-01-03 17:00:00,119.88,0.000561,0.402,1.38e-06,-2.3677,6.949,-69.33
